ID,Link_name,Compo1,Compo2,Medium,Probability
1,GS-SRx,GS,SRx,Radio waves,0.9
2,GS-STx,GS,STx,Radio waves,0.9
3,GS-XTx,GS,XTx,Radio waves,0.9
4,SRx-MOBC,SRx,MOBC,Signal,0.9
5,SRx-PCU,SRx,PCU,Signal,0.9
6,STx-MOBC,STx,MOBC,Signal,0.9
7,XTx-MOBC,XTx,MOBC,Signal,0.9
8,MOBC-TOBC,MOBC,TOBC,Signal,0.9
9,MOBC-AOBC,MOBC,AOBC,Signal,0.9
10,MOBC-MIF,MOBC,MIF,Signal,0.9
11,MOBC-PCU,MOBC,PCU,Signal,0.9
12,MOBC-PCU,MOBC,PCU,Power,0.9
13,PCU-TOBC,PCU,TOBC,Power,0.9
14,PCU-AOBC,PCU,AOBC,Power,0.9
15,PCU-MIF,PCU,MIF,Power,0.9
16,PCU-BAT,PCU,BAT,Power,0.9
17,PCU-SRx,PCU,SRx,Power,0.9
18,PCU-STx,PCU,STx,Power,0.9
19,PCU-XTx,PCU,XTx,Power,0.9
20,TOBC-HTR_PROP,TOBC,HTR_PROP,Power,0.9
21,TOBC-HTR_PANEL,TOBC,HTR_PANEL,Power,0.9
22,TOBC-HTR_BAT,TOBC,HTR_BAT,Power,0.9
23,TOBC-HTR_CAM,TOBC,HTR_CAM,Power,0.9
24,TOBC-TS_PROP,TOBC,TS_PROP,Signal,0.9
25,TOBC-TS_PANEL,TOBC,TS_PANEL,Signal,0.9
26,TOBC-TS_BAT,TOBC,TS_BAT,Signal,0.9
27,TOBC-TS_CAM,TOBC,TS_CAM,Signal,0.9
28,AOBC-AOCS,AOBC,AOCS,Signal,0.9
29,AOBC-AOCS,AOBC,AOCS,Power,0.9
30,MIF-XTx,MIF,XTx,Signal,0.9
31,MIF-CAM,MIF,CAM,Signal,0.9
32,HTR_PROP-PROP,HTR_PROP,PROP,Heat,0.9
33,HTR_PANEL-PANEL,HTR_PANEL,PANEL,Heat,0.9
34,HTR_BAT-BAT,HTR_BAT,BAT,Heat,0.9
35,HTR_CAM-CAM,HTR_CAM,CAM,Heat,0.9
36,HTR_PROP-PANEL,HTR_PROP,PANEL,Heat,0.3
37,HTR_PANEL-PROP,HTR_PANEL,PROP,Heat,0.3
38,HTR_PANEL-CAM,HTR_PANEL,CAM,Heat,0.3
39,HTR_PANEL-BAT,HTR_PANEL,BAT,Heat,0.3
40,TS_PROP-PROP,TS_PROP,PROP,Heat,0.9
41,TS_PANEL-PANEL,TS_PANEL,PANEL,Heat,0.9
42,TS_BAT-BAT,TS_BAT,BAT,Heat,0.9
43,TS_CAM-CAM,TS_CAM,CAM,Heat,0.9